# Current [A], Field [T]
-2.365234375000000000e+00,-1.029383637518321805e-03
1.398898852003708839e+02,5.137604529542229986e-02
1.600000000000000000e+02,5.878793181193664452e-02
1.700085409252669137e+02,6.247705495802655107e-02
1.800170818505337991e+02,6.616639359442223756e-02
1.900256227758007128e+02,6.985594772119120555e-02
2.000341637010676266e+02,7.354571733825920887e-02
2.100427046263345119e+02,7.723570244566672904e-02
2.200512455516014256e+02,8.092590304339353224e-02
2.300597864768683394e+02,8.461631913145985229e-02
2.400683274021352531e+02,8.830695070984546924e-02
2.500768683274021384e+02,9.199779777856384455e-02
2.600854092526690238e+02,9.568886033762513676e-02
2.700939501779359375e+02,9.938013838698882274e-02
2.801024911032028513e+02,1.030716319267224179e-01
2.901110320284697650e+02,1.067633409567482761e-01
3.001195729537366788e+02,1.104552654771305542e-01
3.101281138790035357e+02,1.141474054878253569e-01
3.201366548042705062e+02,1.178397609888563041e-01
3.301451957295373631e+02,1.215323319802115998e-01
3.401537366548042769e+02,1.252251184619047331e-01
3.501622775800711906e+02,1.289181204339222009e-01
3.601708185053381044e+02,1.326113378962707756e-01
3.701793594306050181e+02,1.363047708489521226e-01
3.801879003558718750e+02,1.399984192919578041e-01
3.901964412811388456e+02,1.436922832252911786e-01
4.002049822064057025e+02,1.473863626489565204e-01
4.102135231316726163e+02,1.510806575629537740e-01
4.202220640569395300e+02,1.547751679672800251e-01
4.302306049822064438e+02,1.584698938619348296e-01
4.402391459074733575e+02,1.621648352469196863e-01
4.502476868327402144e+02,1.658599921222345397e-01
4.602562277580071282e+02,1.695553644878769195e-01
4.702647686832740419e+02,1.732509523438500731e-01
4.802733096085409557e+02,1.769467556901534733e-01
4.902818505338078694e+02,1.806427745267857043e-01
5.002903914590747831e+02,1.843390088537477656e-01
5.102989323843416969e+02,1.880354586710393794e-01
5.203074733096085538e+02,1.917321232191416813e-01
5.303160142348754107e+02,1.954289893669512446e-01
5.403245551601423813e+02,1.991260061557137140e-01
5.503330960854093519e+02,2.028231657112083974e-01
5.603416370106762088e+02,2.065204235734637572e-01
5.703501779359430657e+02,2.102177482173138434e-01
5.803587188612100363e+02,2.139152010355793998e-01
5.903672597864768932e+02,2.176129397762341100e-01
6.003758007117437501e+02,2.213107876979950595e-01
6.103843416370107207e+02,2.250088002934357567e-01
6.203928825622776912e+02,2.287068519513848486e-01
6.304014234875445482e+02,2.324049457734662649e-01
6.404099644128114051e+02,2.361032517280837462e-01
6.504185053380783756e+02,2.398017036190602247e-01
6.604270462633452325e+02,2.435003241813767372e-01
6.704355871886120894e+02,2.471991531914223272e-01
6.804441281138790600e+02,2.508982253358331693e-01
6.904526690391459169e+02,2.545974518333357639e-01
7.004612099644128875e+02,2.582967822527591495e-01
7.104697508896797444e+02,2.619962805368109549e-01
7.204782918149467150e+02,2.656959202393413544e-01
7.304868327402135719e+02,2.693957954839997226e-01
7.404953736654804288e+02,2.730958176849132002e-01
7.505039145907473994e+02,2.767959332723620158e-01
7.605124555160142563e+02,2.804962015054280888e-01
7.705209964412812269e+02,2.841965369317664414e-01
7.805295373665480838e+02,2.878969641572763360e-01
7.905380782918150544e+02,2.915973707490364664e-01
8.005466192170819113e+02,2.952978901989098959e-01
8.105551601423487682e+02,2.989984215155904179e-01
8.205637010676157388e+02,3.026990823306832112e-01
8.305722419928825957e+02,3.063997152954656134e-01
8.405807829181495663e+02,3.101004445496070017e-01
8.505893238434164232e+02,3.138011807164538536e-01
8.605978647686833938e+02,3.175019471422203532e-01
8.706064056939502507e+02,3.212027269087439629e-01
8.806149466192171076e+02,3.249035404054742004e-01
8.906234875444840782e+02,3.286043533802511796e-01
